Symbol,Ending_Capital,Profits
BK,509.8400001525879,[9.84000015258789]
DAL,496.0099983215332,"[6.279998779296875, -10.270000457763672]"
INTC,491.6699981689453,[-8.330001831054688]
VICI,474.4499988555908,[5.299999237060547]
JCI,453.45000076293945,[20.299999237060547]
PNR,511.63000106811523,[11.630001068115234]
CTRA,499.3900032043457,"[-2.729999542236328, -2.839998245239258, 4.960000991821289]"
CPB,452.0299987792969,"[-1.4900016784667969, -2.8100013732910156]"
MTCH,506.989990234375,"[41.47999572753906, -34.49000549316406]"
HWM,467.51999855041504,"[6.94999885559082, -1.0200004577636719]"
CARR,465.11000061035156,[9.430000305175781]
DD,433.64000701904297,"[14.6300048828125, -11.349998474121094]"
PARA,513.8700008392334,[13.870000839233398]
KHC,460.8000030517578,"[4.260002136230469, -1.4499969482421875, -1.6500015258789062]"
CSCO,463.5199966430664,[11.019996643066406]
